,회사명,종목코드,상장일
567,풍강,093380.KQ,2007-06-01
568,플레이디,237820.KQ,2020-03-12
569,피에스텍,002230.KQ,1991-01-04
570,핌스,347770.KQ,2020-09-18
571,하나마이크론,067310.KQ,2005-10-11
572,한국경제TV,039340.KQ,2004-07-30
573,한국바이오젠,318000.KQ,2019-08-01
574,한국비엔씨,256840.KQ,2016-12-28
575,한국아트라스비엑스,023890.KQ,1994-11-23
576,한국알콜,017890.KQ,1992-08-04
577,한국정보인증,053300.KQ,2014-02-04
578,한국정보통신,025770.KQ,1998-01-20
579,한국팩키지,037230.KQ,1999-12-21
580,한글과컴퓨터,030520.KQ,1996-09-24
581,한일단조,024740.KQ,1996-11-29
582,한컴위드,054920.KQ,2001-11-01
583,한탑,002680.KQ,1995-07-07
584,현진소재,053660.KQ,2002-02-15
585,형지I&C,011080.KQ,2004-07-02
586,휴네시온,290270.KQ,2018-08-02
587,휴맥스홀딩스,028080.KQ,1997-04-16
588,흥국에프엔비,189980.KQ,2015-08-07
589,CJ엔터테인,049370.KQ,2002-02-05
590,IC코퍼레이션,080570.KQ,2005-01-19
591,KNS홀딩스,036760.KQ,1999-12-10
592,KTB더블채권1-MF,045800.KQ,2000-07-18
593,KTB전환형41,038760.KQ,2000-03-31
594,SK브로드밴드,033630.KQ,1998-11-12
595,교보그로쓰,035970.KQ,1999-10-29
596,국제엘렉트릭,053740.KQ,2003-03-21
597,그로웰전자,009220.KQ,1994-10-07
598,그로웰텔레콤,035780.KQ,2000-01-13
599,글로벌하이1,038770.KQ,2000-03-17
600,금성제관,018840.KQ,1996-07-01
601,남송개발,006000.KQ,1996-07-01
602,네스테크,037540.KQ,1999-12-21
603,넥스지,081970.KQ,2007-08-20
604,넥스콘테크,038990.KQ,2000-05-23
605,다임알짜1호-MF,050350.KQ,2000-12-18
606,단성일렉트론,085990.KQ,2006-05-23
607,대선조선,031990.KQ,1997-01-07
608,대전금고,006300.KQ,1996-07-01
